section,name,ok,error,diagnostic_output,failures,config,run_dir,visual_outputs,visual_error,profile_rows,policy_rows,epsilon,delta,memory_budget_mib,count,ok_count,measured_count,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_peak_memory_mib,p95_peak_memory_mib,mean_kv_cache_memory_mib,p95_kv_cache_memory_mib,mean_global_resident_kv_mib,p95_global_resident_kv_mib,mean_quality_loss,p50_quality_loss,p95_quality_loss,p99_quality_loss,cvar_quality_loss,violation_rate,delta_slack,worst_group_violation,safe_ratio,fallback_ratio,exact_fallback_ratio,exact_action_ratio,lossy_action_ratio,unique_action_count,identical_to_full_lru,unsafe_action_count,candidate_safe_count,action_distribution,has_h0_tail_metrics,has_h1_coverage_metrics,has_h2_lite_benefit_metrics,deployable_baseline_names,audit_rate,backend_distribution,budget_hit_rate,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,drift_state,mean_cumulative_kv_mib,mean_resident_kv_mib,optimality_gap,oracle,oracle_cost_ms,placeholder,pred_loss_mean,primary_metric_distribution,profile_residence_share,queue_delay_ms,recompute_count,recompute_time_ms,restore_count,restore_time_ms,risk_upper_mean,switch_count,target_delta,violation_rate_eps0p05,violation_rate_eps0p1
experiment,pilot-smoke-measured,True,,,,configs/pilot.yaml,out/20260808_161646_pilot,"[""out/20260808_161646_pilot/policy_tables/summary_policy_p95_ttft.png"", ""out/20260808_161646_pilot/policy_tables/summary_policy_kv_memory.png"", ""out/20260808_161646_pilot/policy_tables/summary_policy_quality_loss.png"", ""out/20260808_161646_pilot/policy_tables/summary_policy_budget_hit_rate.png""]",,1600,4000,0.1,0.1,2500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,"[""full_lru"", ""static_best"", ""static_safe"", ""utility_dynamic"", ""uncalibrated_dynamic""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
profile,full_gpu,True,,,,configs/pilot.yaml,,,,,,0.1,0.1,2500.0,200.0,200.0,200.0,404.4448004104197,,2398.378822952509,2540.542881935835,4486.758032226562,4800.66650390625,18.7621875,46.4296875,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,"{""transformers"": 200}",,,,,,,,,,,,,,"{""em"": 200}",,,,,,,,,,0.0,0.0
profile,kivi_4bit_residual32,True,,,,configs/pilot.yaml,,,,,,0.1,0.1,2500.0,200.0,200.0,200.0,523.50182460621,,3353.1834222376347,3603.3842228353024,15540.231076660157,16275.13232421875,6.754718017578125,15.403076171875,,,0.43,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,"{""qwen2_kivi"": 200}",,,,,,,,,,,,,,"{""em"": 200}",,,,,,,,,,0.43,0.43
profile,kivi_4bit_residual64,True,,,,configs/pilot.yaml,,,,,,0.1,0.1,2500.0,200.0,200.0,200.0,542.3453826084733,,3351.3071201741695,3627.970427274704,15542.859008789062,16277.53857421875,7.51353271484375,16.06787109375,,,0.44,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,"{""qwen2_kivi"": 200}",,,,,,,,,,,,,,"{""em"": 200}",,,,,,,,,,0.44,0.44
profile,kivi_2bit_residual32,True,,,,configs/pilot.yaml,,,,,,0.1,0.1,2500.0,200.0,200.0,200.0,521.5697791427374,,3400.273345410824,3673.38190600276,15531.177517089844,16265.4951171875,4.571541748046875,9.602783203125,,,0.775,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,"{""qwen2_kivi"": 200}",,,,,,,,,,,,,,"{""em"": 200}",,,,,,,,,,0.775,0.775
profile,kivi_2bit_residual64,True,,,,configs/pilot.yaml,,,,,,0.1,0.1,2500.0,200.0,200.0,200.0,546.5368003770709,,3413.2387675344944,3624.7681491076946,15534.327194824218,16268.8193359375,5.46832275390625,10.66064453125,,,0.73,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,"{""qwen2_kivi"": 200}",,,,,,,,,,,,,,"{""em"": 200}",,,,,,,,,,0.73,0.73
profile,h2o_heavy10_recent10,True,,,,configs/pilot.yaml,,,,,,0.1,0.1,2500.0,200.0,200.0,200.0,408.61044527962804,,2089.526418596506,2244.286220520735,15532.709992675782,16270.3515625,3.5625338745117188,9.11358642578125,,,0.985,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,"{""qwen2_h2o"": 200}",,,,,,,,,,,,,,"{""em"": 200}",,,,,,,,,,0.985,0.985
profile,h2o_heavy15_recent15,True,,,,configs/pilot.yaml,,,,,,0.1,0.1,2500.0,200.0,200.0,200.0,405.77351989224553,,2044.0452732145786,2223.794311285019,15543.3022265625,16293.77392578125,5.355604553222657,13.72528076171875,,,0.945,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,"{""qwen2_h2o"": 200}",,,,,,,,,,,,,,"{""em"": 200}",,,,,,,,,,0.945,0.945
profile,h2o_heavy20_recent20,True,,,,configs/pilot.yaml,,,,,,0.1,0.1,2500.0,200.0,200.0,200.0,405.4991170950234,,2051.793720573187,2257.989175617695,15554.000390625,16314.4541015625,7.1645965576171875,18.2271728515625,,,0.895,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,"{""qwen2_h2o"": 200}",,,,,,,,,,,,,,"{""em"": 200}",,,,,,,,,,0.895,0.895
policy,full_lru,True,,,,configs/pilot.yaml,,,,,,0.05,0.05,2000.0,100.0,100.0,,5286.464925244152,4510.922107219696,13679.513160276412,16726.424224334954,4488.2146875,4801.28076171875,80.0,0.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,1.0,,,,,,,80.0,,False,,False,,,"{""full_gpu"": 1.0}",1284.2730468750003,0.0,,63.0,5707.966471354166,,0.0,0.05,,
