source_file,policy,input_count,removed_count,retained_count
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/full40_20260916_h2o_static_safe/seed20260906/policy_tables/session25_policy_eps0p05_delta0p1_mem35.csv,full_lru;static_best;static_safe;uncalibrated_dynamic;utility_dynamic,325,37,288
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/full40_20260916_h2o_static_safe/seed20260906/policy_tables/session25_policy_eps0p05_delta0p1_mem469p602.csv,full_lru;static_best;static_safe;uncalibrated_dynamic;utility_dynamic,325,5,320
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/full40_20260916_h2o_static_safe/seed20260906/policy_tables/session25_policy_eps0p05_delta0p1_mem50.csv,full_lru;static_best;static_safe;uncalibrated_dynamic;utility_dynamic,325,20,305
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/full40_20260916_h2o_static_safe/seed20260906/policy_tables/session25_policy_eps0p05_delta0p1_mem64.csv,full_lru;static_best;static_safe;uncalibrated_dynamic;utility_dynamic,325,21,304
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/full40_20260916_h2o_static_safe/seed20260906/policy_tables/session25_policy_eps0p05_delta0p1_mem80.csv,full_lru;static_best;static_safe;uncalibrated_dynamic;utility_dynamic,325,11,314
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/full40_20260916_h2o_static_safe/seed20260906/policy_tables/session25_policy_eps0p05_delta0p1_mem96.csv,full_lru;static_best;static_safe;uncalibrated_dynamic;utility_dynamic,325,7,318
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/full40_20260916_h2o_static_safe/seed20260906/policy_tables/session25_policy_eps0p1_delta0p05_mem120p258.csv,full_lru;static_best;static_safe;uncalibrated_dynamic;utility_dynamic,325,5,320
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/full40_20260916_h2o_static_safe/seed20260906/policy_tables/session25_policy_eps0p1_delta0p05_mem15.csv,full_lru;static_best;static_safe;uncalibrated_dynamic;utility_dynamic,325,13,312
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/full40_20260916_h2o_static_safe/seed20260906/policy_tables/session25_policy_eps0p1_delta0p05_mem20.csv,full_lru;static_best;static_safe;uncalibrated_dynamic;utility_dynamic,325,13,312
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/full40_20260916_h2o_static_safe/seed20260906/policy_tables/session25_policy_eps0p1_delta0p05_mem25.csv,full_lru;static_best;static_safe;uncalibrated_dynamic;utility_dynamic,325,13,312
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/full40_20260916_h2o_static_safe/seed20260906/policy_tables/session25_policy_eps0p1_delta0p05_mem30.csv,full_lru;static_best;static_safe;uncalibrated_dynamic;utility_dynamic,325,9,316
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/full40_20260916_h2o_static_safe/seed20260906/policy_tables/session25_policy_eps0p1_delta0p05_mem35.csv,full_lru;static_best;static_safe;uncalibrated_dynamic;utility_dynamic,325,37,288
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/full40_20260916_h2o_static_safe/seed20260906/policy_tables/session25_policy_eps0p1_delta0p05_mem469p602.csv,full_lru;static_best;static_safe;uncalibrated_dynamic;utility_dynamic,325,5,320
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/full40_20260916_h2o_static_safe/seed20260906/policy_tables/session25_policy_eps0p1_delta0p05_mem50.csv,full_lru;static_best;static_safe;uncalibrated_dynamic;utility_dynamic,325,20,305
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/full40_20260916_h2o_static_safe/seed20260906/policy_tables/session25_policy_eps0p1_delta0p05_mem64.csv,full_lru;static_best;static_safe;uncalibrated_dynamic;utility_dynamic,325,21,304
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/full40_20260916_h2o_static_safe/seed20260906/policy_tables/session25_policy_eps0p1_delta0p05_mem80.csv,full_lru;static_best;static_safe;uncalibrated_dynamic;utility_dynamic,325,11,314
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/full40_20260916_h2o_static_safe/seed20260906/policy_tables/session25_policy_eps0p1_delta0p05_mem96.csv,full_lru;static_best;static_safe;uncalibrated_dynamic;utility_dynamic,325,7,318
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/full40_20260916_h2o_static_safe/seed20260906/policy_tables/session25_policy_eps0p1_delta0p1_mem120p258.csv,full_lru;static_best;static_safe;uncalibrated_dynamic;utility_dynamic,325,5,320
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/full40_20260916_h2o_static_safe/seed20260906/policy_tables/session25_policy_eps0p1_delta0p1_mem15.csv,full_lru;static_best;static_safe;uncalibrated_dynamic;utility_dynamic,325,13,312
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/full40_20260916_h2o_static_safe/seed20260906/policy_tables/session25_policy_eps0p1_delta0p1_mem20.csv,full_lru;static_best;static_safe;uncalibrated_dynamic;utility_dynamic,325,13,312
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/full40_20260916_h2o_static_safe/seed20260906/policy_tables/session25_policy_eps0p1_delta0p1_mem25.csv,full_lru;static_best;static_safe;uncalibrated_dynamic;utility_dynamic,325,13,312
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/full40_20260916_h2o_static_safe/seed20260906/policy_tables/session25_policy_eps0p1_delta0p1_mem30.csv,full_lru;static_best;static_safe;uncalibrated_dynamic;utility_dynamic,325,9,316
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/full40_20260916_h2o_static_safe/seed20260906/policy_tables/session25_policy_eps0p1_delta0p1_mem35.csv,full_lru;static_best;static_safe;uncalibrated_dynamic;utility_dynamic,325,37,288
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/full40_20260916_h2o_static_safe/seed20260906/policy_tables/session25_policy_eps0p1_delta0p1_mem469p602.csv,full_lru;static_best;static_safe;uncalibrated_dynamic;utility_dynamic,325,5,320
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/full40_20260916_h2o_static_safe/seed20260906/policy_tables/session25_policy_eps0p1_delta0p1_mem50.csv,full_lru;static_best;static_safe;uncalibrated_dynamic;utility_dynamic,325,20,305
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/full40_20260916_h2o_static_safe/seed20260906/policy_tables/session25_policy_eps0p1_delta0p1_mem64.csv,full_lru;static_best;static_safe;uncalibrated_dynamic;utility_dynamic,325,21,304
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/full40_20260916_h2o_static_safe/seed20260906/policy_tables/session25_policy_eps0p1_delta0p1_mem80.csv,full_lru;static_best;static_safe;uncalibrated_dynamic;utility_dynamic,325,11,314
/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/full40_20260916_h2o_static_safe/seed20260906/policy_tables/session25_policy_eps0p1_delta0p1_mem96.csv,full_lru;static_best;static_safe;uncalibrated_dynamic;utility_dynamic,325,7,318
