section,name,ok,error,diagnostic_output,session_trace_output,failures,config,run_dir,visual_outputs,visual_error,profile_rows,policy_rows,epsilon,delta,memory_budget_mib,count,ok_count,measured_count,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_peak_memory_mib,p95_peak_memory_mib,mean_kv_cache_memory_mib,p95_kv_cache_memory_mib,mean_global_resident_kv_mib,p95_global_resident_kv_mib,mean_quality_loss,p50_quality_loss,p95_quality_loss,p99_quality_loss,cvar_quality_loss,violation_rate,delta_slack,worst_group_violation,safe_ratio,fallback_ratio,exact_fallback_ratio,exact_action_ratio,lossy_action_ratio,unique_action_count,identical_to_full_lru,unsafe_action_count,candidate_safe_count,action_distribution,has_h0_tail_metrics,has_h1_coverage_metrics,has_h2_lite_benefit_metrics,deployable_baseline_names,experiment_type,backend_events_applicable,backend_semantics_status,backend_not_applicable_reason,session_reuse_evidence,global_resident_evolution,backend_event_evidence,active_session_peak,audit_rate,backend_distribution,budget_hit_rate,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,drift_state,length_bucket_distribution,mean_cumulative_kv_mib,mean_resident_kv_mib,multi_turn_session_count,optimality_gap,oracle,oracle_cost_ms,placeholder,policy_budget_filter_rate,pred_loss_mean,primary_metric_distribution,profile_residence_share,queue_delay_ms,recompute_count,recompute_time_ms,restore_count,restore_time_ms,risk_upper_mean,session_count,switch_count,target_delta,task_distribution,task_length_distribution,triggered_evict,triggered_queue,triggered_recompute,triggered_restore,violation_rate_eps0p05,violation_rate_eps0p1
policy,static_best,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.05,0.1,4900.0,39.0,39.0,,374.7660346711293,358.712125569582,423.24334383010864,933.702252805233,16145.686235476764,16339.97705078125,8.690360827323717,10.248779296875,,,0.041143745293542866,0.0,0.20952380952380967,0.4888888888888888,0.3148555148555149,0.1794871794871795,-0.07948717948717948,0.2857142857142857,0.0,0.0,0.0,0.0,1.0,1.0,False,39.0,,"{""kivi_2bit_residual32"": 39}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,False,False,False,,,,,,,,,,"{""long"": 39}",,,0.0,,False,,True,0.0,0.03216034544594707,,"{""kivi_2bit_residual32"": 1.0}",,,,,,0.2276598543390824,0.0,0.0,0.1,"{""qa"": 21, ""summary"": 18}","{""qa/long"": 21, ""summary/long"": 18}",,,,,,
policy,static_safe,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.05,0.1,4900.0,39.0,39.0,,357.56835179069105,340.49801528453827,405.1991403102875,952.0297013223171,16361.843311798879,16662.25537109375,40.54867788461539,47.6328125,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 39}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,False,False,False,,,,,,,,,,"{""long"": 39}",,,0.0,,False,,True,0.0,0.0,,"{""full_gpu"": 1.0}",,,,,,0.0,0.0,0.0,0.1,"{""qa"": 21, ""summary"": 18}","{""qa/long"": 21, ""summary/long"": 18}",,,,,,
policy,utility_dynamic,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.05,0.1,4900.0,39.0,39.0,,374.7253288061191,358.712125569582,423.24334383010864,933.702252805233,16172.46374198718,16361.2490234375,12.384045723157051,17.3487548828125,,,0.027029154857209158,0.0,0.20238095238095244,0.24615384615384617,0.21935286935286943,0.15384615384615385,-0.05384615384615385,0.23809523809523808,0.0,0.0,0.0,0.0,1.0,2.0,False,39.0,1.0,"{""h2o_heavy20_recent20"": 21, ""kivi_2bit_residual32"": 18}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,False,False,False,,,,,,,,,,"{""long"": 39}",,,0.0,,False,,True,0.0,0.016355153733634588,,"{""h2o_heavy20_recent20"": 0.5287807074810194, ""kivi_2bit_residual32"": 0.4712192925189806}",,,,,,0.15353207920743728,0.0,0.0,0.1,"{""qa"": 21, ""summary"": 18}","{""qa/long"": 21, ""summary/long"": 18}",,,,,,
policy,uncalibrated_dynamic,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.05,0.1,4900.0,39.0,39.0,,374.7253288061191,358.712125569582,423.24334383010864,933.702252805233,16172.46374198718,16361.2490234375,12.384045723157051,17.3487548828125,,,0.027029154857209158,0.0,0.20238095238095244,0.24615384615384617,0.21935286935286943,0.15384615384615385,-0.05384615384615385,0.23809523809523808,0.0,0.0,0.0,0.0,1.0,2.0,False,39.0,1.0,"{""h2o_heavy20_recent20"": 21, ""kivi_2bit_residual32"": 18}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,False,False,False,,,,,,,,,,"{""long"": 39}",,,0.0,,False,,True,0.0,0.016355153733634588,,"{""h2o_heavy20_recent20"": 0.5287807074810194, ""kivi_2bit_residual32"": 0.4712192925189806}",,,,,,0.15353207920743728,0.0,0.0,0.1,"{""qa"": 21, ""summary"": 18}","{""qa/long"": 21, ""summary/long"": 18}",,,,,,
policy,full_lru,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.05,0.1,5000.0,39.0,39.0,,357.56835179069105,340.49801528453827,405.1991403102875,952.0297013223171,16361.843311798879,16662.25537109375,40.54867788461539,47.6328125,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 39}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,False,False,False,,,,,,,,,,"{""long"": 39}",,,0.0,,False,,False,0.0,,,"{""full_gpu"": 1.0}",,,,,,,0.0,0.0,0.1,"{""qa"": 21, ""summary"": 18}","{""qa/long"": 21, ""summary/long"": 18}",,,,,,
policy,static_best,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.05,0.1,5000.0,39.0,39.0,,374.7660346711293,358.712125569582,423.24334383010864,933.702252805233,16145.686235476764,16339.97705078125,8.690360827323717,10.248779296875,,,0.041143745293542866,0.0,0.20952380952380967,0.4888888888888888,0.3148555148555149,0.1794871794871795,-0.07948717948717948,0.2857142857142857,0.0,0.0,0.0,0.0,1.0,1.0,False,39.0,,"{""kivi_2bit_residual32"": 39}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,False,False,False,,,,,,,,,,"{""long"": 39}",,,0.0,,False,,True,0.0,0.03216034544594707,,"{""kivi_2bit_residual32"": 1.0}",,,,,,0.2276598543390824,0.0,0.0,0.1,"{""qa"": 21, ""summary"": 18}","{""qa/long"": 21, ""summary/long"": 18}",,,,,,
policy,static_safe,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.05,0.1,5000.0,39.0,39.0,,357.56835179069105,340.49801528453827,405.1991403102875,952.0297013223171,16361.843311798879,16662.25537109375,40.54867788461539,47.6328125,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 39}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,False,False,False,,,,,,,,,,"{""long"": 39}",,,0.0,,False,,True,0.0,0.0,,"{""full_gpu"": 1.0}",,,,,,0.0,0.0,0.0,0.1,"{""qa"": 21, ""summary"": 18}","{""qa/long"": 21, ""summary/long"": 18}",,,,,,
policy,utility_dynamic,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.05,0.1,5000.0,39.0,39.0,,374.7253288061191,358.712125569582,423.24334383010864,933.702252805233,16172.46374198718,16361.2490234375,12.384045723157051,17.3487548828125,,,0.027029154857209158,0.0,0.20238095238095244,0.24615384615384617,0.21935286935286943,0.15384615384615385,-0.05384615384615385,0.23809523809523808,0.0,0.0,0.0,0.0,1.0,2.0,False,39.0,1.0,"{""h2o_heavy20_recent20"": 21, ""kivi_2bit_residual32"": 18}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,False,False,False,,,,,,,,,,"{""long"": 39}",,,0.0,,False,,True,0.0,0.016355153733634588,,"{""h2o_heavy20_recent20"": 0.5287807074810194, ""kivi_2bit_residual32"": 0.4712192925189806}",,,,,,0.15353207920743728,0.0,0.0,0.1,"{""qa"": 21, ""summary"": 18}","{""qa/long"": 21, ""summary/long"": 18}",,,,,,
policy,uncalibrated_dynamic,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.05,0.1,5000.0,39.0,39.0,,374.7253288061191,358.712125569582,423.24334383010864,933.702252805233,16172.46374198718,16361.2490234375,12.384045723157051,17.3487548828125,,,0.027029154857209158,0.0,0.20238095238095244,0.24615384615384617,0.21935286935286943,0.15384615384615385,-0.05384615384615385,0.23809523809523808,0.0,0.0,0.0,0.0,1.0,2.0,False,39.0,1.0,"{""h2o_heavy20_recent20"": 21, ""kivi_2bit_residual32"": 18}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,False,False,False,,,,,,,,,,"{""long"": 39}",,,0.0,,False,,True,0.0,0.016355153733634588,,"{""h2o_heavy20_recent20"": 0.5287807074810194, ""kivi_2bit_residual32"": 0.4712192925189806}",,,,,,0.15353207920743728,0.0,0.0,0.1,"{""qa"": 21, ""summary"": 18}","{""qa/long"": 21, ""summary/long"": 18}",,,,,,
policy,full_lru,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.1,0.05,4900.0,39.0,39.0,,357.56835179069105,340.49801528453827,405.1991403102875,952.0297013223171,16361.843311798879,16662.25537109375,40.54867788461539,47.6328125,,,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 39}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,False,False,False,,,,,,,,,,"{""long"": 39}",,,0.0,,False,,False,0.0,,,"{""full_gpu"": 1.0}",,,,,,,0.0,0.0,0.05,"{""qa"": 21, ""summary"": 18}","{""qa/long"": 21, ""summary/long"": 18}",,,,,,
policy,static_best,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.1,0.05,4900.0,39.0,39.0,,374.7660346711293,358.712125569582,423.24334383010864,933.702252805233,16145.686235476764,16339.97705078125,8.690360827323717,10.248779296875,,,0.041143745293542866,0.0,0.20952380952380967,0.4888888888888888,0.3148555148555149,0.1794871794871795,-0.12948717948717947,0.2857142857142857,0.0,0.0,0.0,0.0,1.0,1.0,False,39.0,,"{""kivi_2bit_residual32"": 39}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,False,False,False,,,,,,,,,,"{""long"": 39}",,,0.0,,False,,True,0.0,0.03216034544594707,,"{""kivi_2bit_residual32"": 1.0}",,,,,,0.2276598543390824,0.0,0.0,0.05,"{""qa"": 21, ""summary"": 18}","{""qa/long"": 21, ""summary/long"": 18}",,,,,,
policy,static_safe,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.1,0.05,4900.0,39.0,39.0,,357.56835179069105,340.49801528453827,405.1991403102875,952.0297013223171,16361.843311798879,16662.25537109375,40.54867788461539,47.6328125,,,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 39}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,False,False,False,,,,,,,,,,"{""long"": 39}",,,0.0,,False,,True,0.0,0.0,,"{""full_gpu"": 1.0}",,,,,,0.0,0.0,0.0,0.05,"{""qa"": 21, ""summary"": 18}","{""qa/long"": 21, ""summary/long"": 18}",,,,,,
policy,utility_dynamic,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.1,0.05,4900.0,39.0,39.0,,374.7253288061191,358.712125569582,423.24334383010864,933.702252805233,16172.46374198718,16361.2490234375,12.384045723157051,17.3487548828125,,,0.027029154857209158,0.0,0.20238095238095244,0.24615384615384617,0.21935286935286943,0.1282051282051282,-0.07820512820512819,0.19047619047619047,0.0,0.0,0.0,0.0,1.0,2.0,False,39.0,1.0,"{""h2o_heavy20_recent20"": 21, ""kivi_2bit_residual32"": 18}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,False,False,False,,,,,,,,,,"{""long"": 39}",,,0.0,,False,,True,0.0,0.016355153733634588,,"{""h2o_heavy20_recent20"": 0.5287807074810194, ""kivi_2bit_residual32"": 0.4712192925189806}",,,,,,0.15353207920743728,0.0,0.0,0.05,"{""qa"": 21, ""summary"": 18}","{""qa/long"": 21, ""summary/long"": 18}",,,,,,
policy,uncalibrated_dynamic,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.1,0.05,4900.0,39.0,39.0,,374.7253288061191,358.712125569582,423.24334383010864,933.702252805233,16172.46374198718,16361.2490234375,12.384045723157051,17.3487548828125,,,0.027029154857209158,0.0,0.20238095238095244,0.24615384615384617,0.21935286935286943,0.1282051282051282,-0.07820512820512819,0.19047619047619047,0.0,0.0,0.0,0.0,1.0,2.0,False,39.0,1.0,"{""h2o_heavy20_recent20"": 21, ""kivi_2bit_residual32"": 18}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,False,False,False,,,,,,,,,,"{""long"": 39}",,,0.0,,False,,True,0.0,0.016355153733634588,,"{""h2o_heavy20_recent20"": 0.5287807074810194, ""kivi_2bit_residual32"": 0.4712192925189806}",,,,,,0.15353207920743728,0.0,0.0,0.05,"{""qa"": 21, ""summary"": 18}","{""qa/long"": 21, ""summary/long"": 18}",,,,,,
policy,full_lru,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.1,0.05,5000.0,39.0,39.0,,357.56835179069105,340.49801528453827,405.1991403102875,952.0297013223171,16361.843311798879,16662.25537109375,40.54867788461539,47.6328125,,,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 39}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,False,False,False,,,,,,,,,,"{""long"": 39}",,,0.0,,False,,False,0.0,,,"{""full_gpu"": 1.0}",,,,,,,0.0,0.0,0.05,"{""qa"": 21, ""summary"": 18}","{""qa/long"": 21, ""summary/long"": 18}",,,,,,
policy,static_best,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.1,0.05,5000.0,39.0,39.0,,374.7660346711293,358.712125569582,423.24334383010864,933.702252805233,16145.686235476764,16339.97705078125,8.690360827323717,10.248779296875,,,0.041143745293542866,0.0,0.20952380952380967,0.4888888888888888,0.3148555148555149,0.1794871794871795,-0.12948717948717947,0.2857142857142857,0.0,0.0,0.0,0.0,1.0,1.0,False,39.0,,"{""kivi_2bit_residual32"": 39}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,False,False,False,,,,,,,,,,"{""long"": 39}",,,0.0,,False,,True,0.0,0.03216034544594707,,"{""kivi_2bit_residual32"": 1.0}",,,,,,0.2276598543390824,0.0,0.0,0.05,"{""qa"": 21, ""summary"": 18}","{""qa/long"": 21, ""summary/long"": 18}",,,,,,
policy,static_safe,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.1,0.05,5000.0,39.0,39.0,,357.56835179069105,340.49801528453827,405.1991403102875,952.0297013223171,16361.843311798879,16662.25537109375,40.54867788461539,47.6328125,,,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 39}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,False,False,False,,,,,,,,,,"{""long"": 39}",,,0.0,,False,,True,0.0,0.0,,"{""full_gpu"": 1.0}",,,,,,0.0,0.0,0.0,0.05,"{""qa"": 21, ""summary"": 18}","{""qa/long"": 21, ""summary/long"": 18}",,,,,,
policy,utility_dynamic,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.1,0.05,5000.0,39.0,39.0,,374.7253288061191,358.712125569582,423.24334383010864,933.702252805233,16172.46374198718,16361.2490234375,12.384045723157051,17.3487548828125,,,0.027029154857209158,0.0,0.20238095238095244,0.24615384615384617,0.21935286935286943,0.1282051282051282,-0.07820512820512819,0.19047619047619047,0.0,0.0,0.0,0.0,1.0,2.0,False,39.0,1.0,"{""h2o_heavy20_recent20"": 21, ""kivi_2bit_residual32"": 18}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,False,False,False,,,,,,,,,,"{""long"": 39}",,,0.0,,False,,True,0.0,0.016355153733634588,,"{""h2o_heavy20_recent20"": 0.5287807074810194, ""kivi_2bit_residual32"": 0.4712192925189806}",,,,,,0.15353207920743728,0.0,0.0,0.05,"{""qa"": 21, ""summary"": 18}","{""qa/long"": 21, ""summary/long"": 18}",,,,,,
policy,uncalibrated_dynamic,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.1,0.05,5000.0,39.0,39.0,,374.7253288061191,358.712125569582,423.24334383010864,933.702252805233,16172.46374198718,16361.2490234375,12.384045723157051,17.3487548828125,,,0.027029154857209158,0.0,0.20238095238095244,0.24615384615384617,0.21935286935286943,0.1282051282051282,-0.07820512820512819,0.19047619047619047,0.0,0.0,0.0,0.0,1.0,2.0,False,39.0,1.0,"{""h2o_heavy20_recent20"": 21, ""kivi_2bit_residual32"": 18}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,False,False,False,,,,,,,,,,"{""long"": 39}",,,0.0,,False,,True,0.0,0.016355153733634588,,"{""h2o_heavy20_recent20"": 0.5287807074810194, ""kivi_2bit_residual32"": 0.4712192925189806}",,,,,,0.15353207920743728,0.0,0.0,0.05,"{""qa"": 21, ""summary"": 18}","{""qa/long"": 21, ""summary/long"": 18}",,,,,,
policy,full_lru,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.1,0.1,4900.0,39.0,39.0,,357.56835179069105,340.49801528453827,405.1991403102875,952.0297013223171,16361.843311798879,16662.25537109375,40.54867788461539,47.6328125,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 39}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,False,False,False,,,,,,,,,,"{""long"": 39}",,,0.0,,False,,False,0.0,,,"{""full_gpu"": 1.0}",,,,,,,0.0,0.0,0.1,"{""qa"": 21, ""summary"": 18}","{""qa/long"": 21, ""summary/long"": 18}",,,,,,
policy,static_best,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.1,0.1,4900.0,39.0,39.0,,374.7660346711293,358.712125569582,423.24334383010864,933.702252805233,16145.686235476764,16339.97705078125,8.690360827323717,10.248779296875,,,0.041143745293542866,0.0,0.20952380952380967,0.4888888888888888,0.3148555148555149,0.1794871794871795,-0.07948717948717948,0.2857142857142857,0.0,0.0,0.0,0.0,1.0,1.0,False,39.0,,"{""kivi_2bit_residual32"": 39}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,False,False,False,,,,,,,,,,"{""long"": 39}",,,0.0,,False,,True,0.0,0.03216034544594707,,"{""kivi_2bit_residual32"": 1.0}",,,,,,0.2276598543390824,0.0,0.0,0.1,"{""qa"": 21, ""summary"": 18}","{""qa/long"": 21, ""summary/long"": 18}",,,,,,
policy,static_safe,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.1,0.1,4900.0,39.0,39.0,,357.56835179069105,340.49801528453827,405.1991403102875,952.0297013223171,16361.843311798879,16662.25537109375,40.54867788461539,47.6328125,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 39}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,False,False,False,,,,,,,,,,"{""long"": 39}",,,0.0,,False,,True,0.0,0.0,,"{""full_gpu"": 1.0}",,,,,,0.0,0.0,0.0,0.1,"{""qa"": 21, ""summary"": 18}","{""qa/long"": 21, ""summary/long"": 18}",,,,,,
policy,utility_dynamic,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.1,0.1,4900.0,39.0,39.0,,374.7253288061191,358.712125569582,423.24334383010864,933.702252805233,16172.46374198718,16361.2490234375,12.384045723157051,17.3487548828125,,,0.027029154857209158,0.0,0.20238095238095244,0.24615384615384617,0.21935286935286943,0.1282051282051282,-0.028205128205128188,0.19047619047619047,0.0,0.0,0.0,0.0,1.0,2.0,False,39.0,1.0,"{""h2o_heavy20_recent20"": 21, ""kivi_2bit_residual32"": 18}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,False,False,False,,,,,,,,,,"{""long"": 39}",,,0.0,,False,,True,0.0,0.016355153733634588,,"{""h2o_heavy20_recent20"": 0.5287807074810194, ""kivi_2bit_residual32"": 0.4712192925189806}",,,,,,0.15353207920743728,0.0,0.0,0.1,"{""qa"": 21, ""summary"": 18}","{""qa/long"": 21, ""summary/long"": 18}",,,,,,
policy,uncalibrated_dynamic,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.1,0.1,4900.0,39.0,39.0,,374.7253288061191,358.712125569582,423.24334383010864,933.702252805233,16172.46374198718,16361.2490234375,12.384045723157051,17.3487548828125,,,0.027029154857209158,0.0,0.20238095238095244,0.24615384615384617,0.21935286935286943,0.1282051282051282,-0.028205128205128188,0.19047619047619047,0.0,0.0,0.0,0.0,1.0,2.0,False,39.0,1.0,"{""h2o_heavy20_recent20"": 21, ""kivi_2bit_residual32"": 18}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,False,False,False,,,,,,,,,,"{""long"": 39}",,,0.0,,False,,True,0.0,0.016355153733634588,,"{""h2o_heavy20_recent20"": 0.5287807074810194, ""kivi_2bit_residual32"": 0.4712192925189806}",,,,,,0.15353207920743728,0.0,0.0,0.1,"{""qa"": 21, ""summary"": 18}","{""qa/long"": 21, ""summary/long"": 18}",,,,,,
policy,full_lru,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.1,0.1,5000.0,39.0,39.0,,357.56835179069105,340.49801528453827,405.1991403102875,952.0297013223171,16361.843311798879,16662.25537109375,40.54867788461539,47.6328125,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 39}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,False,False,False,,,,,,,,,,"{""long"": 39}",,,0.0,,False,,False,0.0,,,"{""full_gpu"": 1.0}",,,,,,,0.0,0.0,0.1,"{""qa"": 21, ""summary"": 18}","{""qa/long"": 21, ""summary/long"": 18}",,,,,,
policy,static_best,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.1,0.1,5000.0,39.0,39.0,,374.7660346711293,358.712125569582,423.24334383010864,933.702252805233,16145.686235476764,16339.97705078125,8.690360827323717,10.248779296875,,,0.041143745293542866,0.0,0.20952380952380967,0.4888888888888888,0.3148555148555149,0.1794871794871795,-0.07948717948717948,0.2857142857142857,0.0,0.0,0.0,0.0,1.0,1.0,False,39.0,,"{""kivi_2bit_residual32"": 39}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,False,False,False,,,,,,,,,,"{""long"": 39}",,,0.0,,False,,True,0.0,0.03216034544594707,,"{""kivi_2bit_residual32"": 1.0}",,,,,,0.2276598543390824,0.0,0.0,0.1,"{""qa"": 21, ""summary"": 18}","{""qa/long"": 21, ""summary/long"": 18}",,,,,,
policy,static_safe,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.1,0.1,5000.0,39.0,39.0,,357.56835179069105,340.49801528453827,405.1991403102875,952.0297013223171,16361.843311798879,16662.25537109375,40.54867788461539,47.6328125,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 39}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,False,False,False,,,,,,,,,,"{""long"": 39}",,,0.0,,False,,True,0.0,0.0,,"{""full_gpu"": 1.0}",,,,,,0.0,0.0,0.0,0.1,"{""qa"": 21, ""summary"": 18}","{""qa/long"": 21, ""summary/long"": 18}",,,,,,
policy,utility_dynamic,True,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot_external_baseline_quality.yaml,,,,,,0.1,0.1,5000.0,39.0,39.0,,374.7253288061191,358.712125569582,423.24334383010864,933.702252805233,16172.46374198718,16361.2490234375,12.384045723157051,17.3487548828125,,,0.027029154857209158,0.0,0.20238095238095244,0.24615384615384617,0.21935286935286943,0.1282051282051282,-0.028205128205128188,0.19047619047619047,0.0,0.0,0.0,0.0,1.0,2.0,False,39.0,1.0,"{""h2o_heavy20_recent20"": 21, ""kivi_2bit_residual32"": 18}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,False,False,False,,,,,,,,,,"{""long"": 39}",,,0.0,,False,,True,0.0,0.016355153733634588,,"{""h2o_heavy20_recent20"": 0.5287807074810194, ""kivi_2bit_residual32"": 0.4712192925189806}",,,,,,0.15353207920743728,0.0,0.0,0.1,"{""qa"": 21, ""summary"": 18}","{""qa/long"": 21, ""summary/long"": 18}",,,,,,
