config,run_dir,policy,memory_budget_mib,epsilon,delta,mean_quality_loss,p50_quality_loss,p95_quality_loss,p99_quality_loss,cvar_quality_loss,violation_rate,worst_group_violation,delta_slack,safe_ratio,risk_upper_mean,pred_loss_mean,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_peak_memory_mib,p95_peak_memory_mib,mean_kv_cache_memory_mib,p95_kv_cache_memory_mib,fallback_ratio,exact_fallback_ratio,exact_action_ratio,lossy_action_ratio,candidate_safe_count,budget_hit_rate,restore_count,restore_time_ms,recompute_count,recompute_time_ms,queue_delay_ms,mean_global_resident_kv_mib,p95_global_resident_kv_mib,controller_overhead_ms,controller_qrp_ms,controller_cg_ms,controller_stc_ms,oracle_cost_ms,optimality_gap,audit_rate,action_distribution
configs/pilot.yaml,out/20260808_193926_pilot,full_lru,4900.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,,,5208.234696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,196.0,0.0,0.0,0.0,1.0,0.0,,1.0,63.0,5608.824348958331,0.0,,1262.6480273437492,4900.0,4900.0,,,,,,,,"{""full_gpu"": 100}"
configs/pilot.yaml,out/20260808_193926_pilot,static_best,4900.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,5208.234696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,196.0,0.0,1.0,1.0,1.0,0.0,,1.0,63.0,5608.824348958331,0.0,,1262.6480273437492,4900.0,4900.0,,,,,,,,"{""full_gpu"": 100}"
configs/pilot.yaml,out/20260808_193926_pilot,static_safe,4900.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,5208.234696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,196.0,0.0,1.0,1.0,1.0,0.0,,1.0,63.0,5608.824348958331,0.0,,1262.6480273437492,4900.0,4900.0,,,,,,,,"{""full_gpu"": 100}"
configs/pilot.yaml,out/20260808_193926_pilot,utility_dynamic,4900.0,0.05,0.1,0.95,1.0,1.0,1.0,1.0,0.95,1.0,-0.85,0.0,1.0038446969696972,0.8769696969696968,406.8646328523755,230.30387610197067,2058.5415437817574,2236.2167425453663,15551.446318359374,16314.4541015625,8.285677490234375,18.33697509765625,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,,0.0,223.62545043945312,430.53460693359375,,,,,,,,"{""h2o_heavy15_recent15"": 66, ""h2o_heavy20_recent20"": 34}"
configs/pilot.yaml,out/20260808_193926_pilot,uncalibrated_dynamic,4900.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,5208.234696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,196.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,63.0,5608.824348958331,0.0,,1262.6480273437492,4900.0,4900.0,,,,,,,,"{""full_gpu"": 100}"
configs/pilot.yaml,out/20260808_193926_pilot,full_lru,5000.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,,,5205.384696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,200.0,0.0,0.0,0.0,1.0,0.0,,1.0,63.0,5605.491015624998,0.0,,1261.8980273437492,5000.0,5000.0,,,,,,,,"{""full_gpu"": 100}"
configs/pilot.yaml,out/20260808_193926_pilot,static_best,5000.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,5205.384696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,200.0,0.0,1.0,1.0,1.0,0.0,,1.0,63.0,5605.491015624998,0.0,,1261.8980273437492,5000.0,5000.0,,,,,,,,"{""full_gpu"": 100}"
configs/pilot.yaml,out/20260808_193926_pilot,static_safe,5000.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,5205.384696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,200.0,0.0,1.0,1.0,1.0,0.0,,1.0,63.0,5605.491015624998,0.0,,1261.8980273437492,5000.0,5000.0,,,,,,,,"{""full_gpu"": 100}"
configs/pilot.yaml,out/20260808_193926_pilot,utility_dynamic,5000.0,0.05,0.1,0.95,1.0,1.0,1.0,1.0,0.95,1.0,-0.85,0.0,1.0038446969696972,0.8769696969696968,406.8646328523755,230.30387610197067,2058.5415437817574,2236.2167425453663,15551.446318359374,16314.4541015625,8.285677490234375,18.33697509765625,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,,0.0,223.62545043945312,430.53460693359375,,,,,,,,"{""h2o_heavy15_recent15"": 66, ""h2o_heavy20_recent20"": 34}"
configs/pilot.yaml,out/20260808_193926_pilot,uncalibrated_dynamic,5000.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,5205.384696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,200.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,63.0,5605.491015624998,0.0,,1261.8980273437492,5000.0,5000.0,,,,,,,,"{""full_gpu"": 100}"
configs/pilot.yaml,out/20260808_193926_pilot,full_lru,4900.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,,,5208.234696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,196.0,0.0,0.0,0.0,1.0,0.0,,1.0,63.0,5608.824348958331,0.0,,1262.6480273437492,4900.0,4900.0,,,,,,,,"{""full_gpu"": 100}"
configs/pilot.yaml,out/20260808_193926_pilot,static_best,4900.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.0,5208.234696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,196.0,0.0,1.0,1.0,1.0,0.0,,1.0,63.0,5608.824348958331,0.0,,1262.6480273437492,4900.0,4900.0,,,,,,,,"{""full_gpu"": 100}"
configs/pilot.yaml,out/20260808_193926_pilot,static_safe,4900.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.0,5208.234696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,196.0,0.0,1.0,1.0,1.0,0.0,,1.0,63.0,5608.824348958331,0.0,,1262.6480273437492,4900.0,4900.0,,,,,,,,"{""full_gpu"": 100}"
configs/pilot.yaml,out/20260808_193926_pilot,utility_dynamic,4900.0,0.1,0.05,0.95,1.0,1.0,1.0,1.0,0.95,1.0,-0.8999999999999999,0.0,1.0038446969696972,0.8769696969696968,406.8646328523755,230.30387610197067,2058.5415437817574,2236.2167425453663,15551.446318359374,16314.4541015625,8.285677490234375,18.33697509765625,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,,0.0,223.62545043945312,430.53460693359375,,,,,,,,"{""h2o_heavy15_recent15"": 66, ""h2o_heavy20_recent20"": 34}"
configs/pilot.yaml,out/20260808_193926_pilot,uncalibrated_dynamic,4900.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.0,5208.234696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,196.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,63.0,5608.824348958331,0.0,,1262.6480273437492,4900.0,4900.0,,,,,,,,"{""full_gpu"": 100}"
configs/pilot.yaml,out/20260808_193926_pilot,full_lru,5000.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,,,5205.384696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,200.0,0.0,0.0,0.0,1.0,0.0,,1.0,63.0,5605.491015624998,0.0,,1261.8980273437492,5000.0,5000.0,,,,,,,,"{""full_gpu"": 100}"
configs/pilot.yaml,out/20260808_193926_pilot,static_best,5000.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.0,5205.384696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,200.0,0.0,1.0,1.0,1.0,0.0,,1.0,63.0,5605.491015624998,0.0,,1261.8980273437492,5000.0,5000.0,,,,,,,,"{""full_gpu"": 100}"
configs/pilot.yaml,out/20260808_193926_pilot,static_safe,5000.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.0,5205.384696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,200.0,0.0,1.0,1.0,1.0,0.0,,1.0,63.0,5605.491015624998,0.0,,1261.8980273437492,5000.0,5000.0,,,,,,,,"{""full_gpu"": 100}"
configs/pilot.yaml,out/20260808_193926_pilot,utility_dynamic,5000.0,0.1,0.05,0.95,1.0,1.0,1.0,1.0,0.95,1.0,-0.8999999999999999,0.0,1.0038446969696972,0.8769696969696968,406.8646328523755,230.30387610197067,2058.5415437817574,2236.2167425453663,15551.446318359374,16314.4541015625,8.285677490234375,18.33697509765625,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,,0.0,223.62545043945312,430.53460693359375,,,,,,,,"{""h2o_heavy15_recent15"": 66, ""h2o_heavy20_recent20"": 34}"
configs/pilot.yaml,out/20260808_193926_pilot,uncalibrated_dynamic,5000.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.0,5205.384696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,200.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,63.0,5605.491015624998,0.0,,1261.8980273437492,5000.0,5000.0,,,,,,,,"{""full_gpu"": 100}"
configs/pilot.yaml,out/20260808_193926_pilot,full_lru,4900.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,,,5208.234696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,196.0,0.0,0.0,0.0,1.0,0.0,,1.0,63.0,5608.824348958331,0.0,,1262.6480273437492,4900.0,4900.0,,,,,,,,"{""full_gpu"": 100}"
configs/pilot.yaml,out/20260808_193926_pilot,static_best,4900.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,5208.234696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,196.0,0.0,1.0,1.0,1.0,0.0,,1.0,63.0,5608.824348958331,0.0,,1262.6480273437492,4900.0,4900.0,,,,,,,,"{""full_gpu"": 100}"
configs/pilot.yaml,out/20260808_193926_pilot,static_safe,4900.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,5208.234696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,196.0,0.0,1.0,1.0,1.0,0.0,,1.0,63.0,5608.824348958331,0.0,,1262.6480273437492,4900.0,4900.0,,,,,,,,"{""full_gpu"": 100}"
configs/pilot.yaml,out/20260808_193926_pilot,utility_dynamic,4900.0,0.1,0.1,0.95,1.0,1.0,1.0,1.0,0.95,1.0,-0.85,0.0,1.0038446969696972,0.8769696969696968,406.8646328523755,230.30387610197067,2058.5415437817574,2236.2167425453663,15551.446318359374,16314.4541015625,8.285677490234375,18.33697509765625,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,,0.0,223.62545043945312,430.53460693359375,,,,,,,,"{""h2o_heavy15_recent15"": 66, ""h2o_heavy20_recent20"": 34}"
configs/pilot.yaml,out/20260808_193926_pilot,uncalibrated_dynamic,4900.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,5208.234696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,196.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,63.0,5608.824348958331,0.0,,1262.6480273437492,4900.0,4900.0,,,,,,,,"{""full_gpu"": 100}"
configs/pilot.yaml,out/20260808_193926_pilot,full_lru,5000.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,,,5205.384696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,200.0,0.0,0.0,0.0,1.0,0.0,,1.0,63.0,5605.491015624998,0.0,,1261.8980273437492,5000.0,5000.0,,,,,,,,"{""full_gpu"": 100}"
configs/pilot.yaml,out/20260808_193926_pilot,static_best,5000.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,5205.384696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,200.0,0.0,1.0,1.0,1.0,0.0,,1.0,63.0,5605.491015624998,0.0,,1261.8980273437492,5000.0,5000.0,,,,,,,,"{""full_gpu"": 100}"
configs/pilot.yaml,out/20260808_193926_pilot,static_safe,5000.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,5205.384696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,200.0,0.0,1.0,1.0,1.0,0.0,,1.0,63.0,5605.491015624998,0.0,,1261.8980273437492,5000.0,5000.0,,,,,,,,"{""full_gpu"": 100}"
configs/pilot.yaml,out/20260808_193926_pilot,utility_dynamic,5000.0,0.1,0.1,0.95,1.0,1.0,1.0,1.0,0.95,1.0,-0.85,0.0,1.0038446969696972,0.8769696969696968,406.8646328523755,230.30387610197067,2058.5415437817574,2236.2167425453663,15551.446318359374,16314.4541015625,8.285677490234375,18.33697509765625,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,,0.0,223.62545043945312,430.53460693359375,,,,,,,,"{""h2o_heavy15_recent15"": 66, ""h2o_heavy20_recent20"": 34}"
configs/pilot.yaml,out/20260808_193926_pilot,uncalibrated_dynamic,5000.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,5205.384696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,200.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,63.0,5605.491015624998,0.0,,1261.8980273437492,5000.0,5000.0,,,,,,,,"{""full_gpu"": 100}"
