policy,memory_budget_mib,epsilon,delta,count,ok_count,session_count,budget_hit_count,budget_hit_rate,restore_count,restore_time_ms_total,recompute_count,recompute_time_ms_total,queue_event_count,queue_delay_ms_mean,evict_event_count,session_reuse_evidence,backend_event_evidence
static_best,120.258,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_safe,120.258,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,1.0,0.00039495321420522834,0.0,True,True
uncalibrated_dynamic,120.258,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
utility_dynamic,120.258,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,1.0,0.0001552435067983774,0.0,True,True
full_lru,120.258,0.05,0.1,65.0,65.0,13.0,29.0,0.4461538461538462,0.0,0,28.0,3960.123404627666,0.0,0.0,29.0,True,True
static_best,120.258,0.05,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_safe,120.258,0.05,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,1.0,0.00026016968947190506,0.0,True,True
uncalibrated_dynamic,120.258,0.05,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
utility_dynamic,120.258,0.05,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,1.0,0.00017984463618351862,0.0,True,True
full_lru,120.258,0.1,0.05,65.0,65.0,13.0,29.0,0.4461538461538462,0.0,0,28.0,4013.5094828438014,0.0,0.0,29.0,True,True
static_best,120.258,0.1,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_safe,120.258,0.1,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,2.0,0.0006943959456223708,0.0,True,True
uncalibrated_dynamic,120.258,0.1,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
utility_dynamic,120.258,0.1,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
full_lru,120.258,0.1,0.1,65.0,65.0,13.0,29.0,0.4461538461538462,0.0,0,28.0,4003.665552707389,0.0,0.0,29.0,True,True
static_best,120.258,0.1,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_safe,120.258,0.1,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,1.0,0.0004049044388991136,0.0,True,True
uncalibrated_dynamic,120.258,0.1,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
utility_dynamic,120.258,0.1,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
full_lru,469.602,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,1.0,0.00029753905076246995,0.0,True,True
static_best,469.602,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,1.0,0.00023571161123422477,0.0,True,True
static_safe,469.602,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,1.0,0.0005042296189528246,0.0,True,True
uncalibrated_dynamic,469.602,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,1.0,0.00018938137934758112,0.0,True,True
utility_dynamic,469.602,0.05,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
full_lru,469.602,0.05,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_best,469.602,0.05,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_safe,469.602,0.05,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
uncalibrated_dynamic,469.602,0.05,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
utility_dynamic,469.602,0.05,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
full_lru,469.602,0.1,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_best,469.602,0.1,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,1.0,0.00016835286067082332,0.0,True,True
static_safe,469.602,0.1,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
uncalibrated_dynamic,469.602,0.1,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
utility_dynamic,469.602,0.1,0.05,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
full_lru,469.602,0.1,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_best,469.602,0.1,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
static_safe,469.602,0.1,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,1.0,0.00037961372962364785,0.0,True,True
uncalibrated_dynamic,469.602,0.1,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
utility_dynamic,469.602,0.1,0.1,65.0,65.0,13.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,True,False
