section,name,ok,error,diagnostic_output,failures,config,run_dir,visual_outputs,visual_error,profile_rows,policy_rows,epsilon,delta,memory_budget_mib,count,ok_count,measured_count,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_peak_memory_mib,p95_peak_memory_mib,mean_kv_cache_memory_mib,p95_kv_cache_memory_mib,mean_quality_loss,p50_quality_loss,p95_quality_loss,p99_quality_loss,cvar_quality_loss,violation_rate,delta_slack,worst_group_violation,safe_ratio,fallback_ratio,exact_fallback_ratio,exact_action_ratio,lossy_action_ratio,unique_action_count,identical_to_full_lru,unsafe_action_count,candidate_safe_count,action_distribution,has_h0_tail_metrics,has_h1_coverage_metrics,has_h2_lite_benefit_metrics,deployable_baseline_names,audit_rate,backend_distribution,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,drift_state,optimality_gap,oracle,oracle_cost_ms,placeholder,pred_loss_mean,primary_metric_distribution,risk_upper_mean,target_delta,violation_rate_eps0p05,violation_rate_eps0p1
policy,static_safe,True,,,,configs/pilot.yaml,,,,,,0.05,0.05,4900.0,100.0,100.0,,531.4881743118167,262.2704245150089,2790.079042315483,2935.901917517185,4686.205556640625,5101.89013671875,36.1615625,72.625,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,,,,,,,False,,True,0.0,,0.0,0.05,,
policy,utility_dynamic,True,,,,configs/pilot.yaml,,,,,,0.05,0.05,4900.0,100.0,100.0,,630.4514801129699,334.0696543455124,2985.5592735111713,3077.962063252926,4666.222236328125,5063.376953125,12.927018432617187,28.43878173828125,0.029982548780553005,0.0,0.13633520950594125,0.22287390029325516,0.18576267361964208,0.25,-0.2,0.4074074074074074,0.0,0.0,0.0,0.0,1.0,2.0,False,100.0,1.17,"{""h2o_heavy15_recent15"": 45, ""h2o_heavy20_recent20"": 55}",,,,,,,,,,,,,False,,True,0.030524284467581247,,0.24581413237546698,0.05,,
policy,uncalibrated_dynamic,True,,,,configs/pilot.yaml,,,,,,0.05,0.05,4900.0,100.0,100.0,,630.9688593074679,334.0696543455124,3015.881672501564,3045.5555617809296,4664.772651367188,5057.88818359375,11.108693237304687,21.521240234375,0.024443011348331833,0.0,0.11764705882352933,0.19999999999999996,0.1591577797125382,0.21,-0.15999999999999998,0.4074074074074074,0.0,1.0,0.0,0.0,1.0,2.0,False,100.0,1.17,"{""h2o_heavy15_recent15"": 56, ""h2o_heavy20_recent20"": 44}",,,,,,,,,,,,,False,,True,0.03366372334081087,,0.2553291932364569,0.05,,
policy,full_lru,True,,,,configs/pilot.yaml,,,,,,0.05,0.05,5000.0,100.0,100.0,,531.4881743118167,262.2704245150089,2790.079042315483,2935.901917517185,4686.205556640625,5101.89013671875,36.1615625,72.625,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,,,,,,,False,,False,,,,0.05,,
policy,static_best,True,,,,configs/pilot.yaml,,,,,,0.05,0.05,5000.0,100.0,100.0,,630.8806839957833,334.0696543455124,3015.881672501564,3045.5555617809296,4664.4195947265625,5057.88818359375,10.587132568359374,21.521240234375,0.029551883690152998,0.0,0.128695652173913,0.22287390029325516,0.1738786156486276,0.24,-0.19,0.37037037037037035,0.0,1.0,0.0,0.0,1.0,1.0,False,100.0,,"{""h2o_heavy15_recent15"": 100}",,,,,,,,,,,,,False,,True,0.04043453732209576,,0.27235475796808506,0.05,,
policy,static_safe,True,,,,configs/pilot.yaml,,,,,,0.05,0.05,5000.0,100.0,100.0,,531.4881743118167,262.2704245150089,2790.079042315483,2935.901917517185,4686.205556640625,5101.89013671875,36.1615625,72.625,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,,,,,,,False,,True,0.0,,0.0,0.05,,
policy,utility_dynamic,True,,,,configs/pilot.yaml,,,,,,0.05,0.05,5000.0,100.0,100.0,,630.4514801129699,334.0696543455124,2985.5592735111713,3077.962063252926,4666.222236328125,5063.376953125,12.927018432617187,28.43878173828125,0.029982548780553005,0.0,0.13633520950594125,0.22287390029325516,0.18576267361964208,0.25,-0.2,0.4074074074074074,0.0,0.0,0.0,0.0,1.0,2.0,False,100.0,1.17,"{""h2o_heavy15_recent15"": 45, ""h2o_heavy20_recent20"": 55}",,,,,,,,,,,,,False,,True,0.030524284467581247,,0.24581413237546698,0.05,,
policy,uncalibrated_dynamic,True,,,,configs/pilot.yaml,,,,,,0.05,0.05,5000.0,100.0,100.0,,630.9688593074679,334.0696543455124,3015.881672501564,3045.5555617809296,4664.772651367188,5057.88818359375,11.108693237304687,21.521240234375,0.024443011348331833,0.0,0.11764705882352933,0.19999999999999996,0.1591577797125382,0.21,-0.15999999999999998,0.4074074074074074,0.0,1.0,0.0,0.0,1.0,2.0,False,100.0,1.17,"{""h2o_heavy15_recent15"": 56, ""h2o_heavy20_recent20"": 44}",,,,,,,,,,,,,False,,True,0.03366372334081087,,0.2553291932364569,0.05,,
policy,full_lru,True,,,,configs/pilot.yaml,,,,,,0.05,0.1,4900.0,100.0,100.0,,531.4881743118167,262.2704245150089,2790.079042315483,2935.901917517185,4686.205556640625,5101.89013671875,36.1615625,72.625,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,,,,,,,False,,False,,,,0.1,,
policy,static_best,True,,,,configs/pilot.yaml,,,,,,0.05,0.1,4900.0,100.0,100.0,,630.8806839957833,334.0696543455124,3015.881672501564,3045.5555617809296,4664.4195947265625,5057.88818359375,10.587132568359374,21.521240234375,0.029551883690152998,0.0,0.128695652173913,0.22287390029325516,0.1738786156486276,0.24,-0.13999999999999999,0.37037037037037035,0.0,1.0,0.0,0.0,1.0,1.0,False,100.0,,"{""h2o_heavy15_recent15"": 100}",,,,,,,,,,,,,False,,True,0.04043453732209576,,0.27235475796808506,0.1,,
