action_profile,audit_rate,candidate_safe_count,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,delta,drift_state,epsilon,error,exact,fallback_reason,kv_cache_memory_mib,latency_ms,length_bucket,measured,ok,optimality_gap,oracle,oracle_cost_ms,peak_memory_mib,placeholder,policy,pred_loss,quality_loss,reason,rejected_pred_loss,rejected_profile,rejected_risk_upper,request_id,resident_memory_mib,risk_upper,safe,task,ttft_ms
full_gpu,,,,,,,,,,,True,,73.0078125,1089.517641812563,long,True,True,,False,,5106.79248046875,False,full_lru,,0.0,full precision exact profile,,,,longbench_qasper_000100,8671.94921875,,,qa_long_context,564.2042383551598
full_gpu,,,,,,,,,,,True,,7.4375,590.4652737081051,short,True,True,,False,,4357.51123046875,False,full_lru,,0.0,full precision exact profile,,,,xsum_000150,8671.94921875,,,summary,70.44190168380737
full_gpu,,,,,,,,,,,True,,34.5078125,798.4241098165512,long,True,True,,False,,4664.96826171875,False,full_lru,,0.0,full precision exact profile,,,,xsum_000151,8671.94921875,,,summary,277.9022976756096
full_gpu,,,,,,,,,,,True,,20.6171875,769.9249610304832,medium,True,True,,False,,4507.23974609375,False,full_lru,,0.0,full precision exact profile,,,,xsum_000152,8671.94921875,,,summary,174.7034564614296
full_gpu,,,,,,,,,,,True,,64.09375,1119.904350489378,long,True,True,,False,,5008.43701171875,False,full_lru,,0.0,full precision exact profile,,,,longbench_qasper_000101,8671.94921875,,,qa_long_context,521.0469700396061
full_gpu,,,,,,,,,,,True,,5.4140625,3148.363057523966,short,True,True,,False,,4334.53076171875,False,full_lru,,0.0,full precision exact profile,,,,xsum_000157,8681.0234375,,,summary,2566.709391772747
full_gpu,,,,,,,,,,,True,,32.6484375,924.608401954174,long,True,True,,False,,4644.27490234375,False,full_lru,,0.0,full precision exact profile,,,,xsum_000153,8681.0234375,,,summary,319.46079805493355
full_gpu,,,,,,,,,,,True,,8.3671875,686.637882143259,medium,True,True,,False,,4368.07177734375,False,full_lru,,0.0,full precision exact profile,,,,xsum_000154,8681.0234375,,,summary,95.46968340873718
full_gpu,,,,,,,,,,,True,,68.6875,1105.6140065193176,long,True,True,,False,,5058.92333984375,False,full_lru,,0.0,full precision exact profile,,,,longbench_qasper_000102,8681.0234375,,,qa_long_context,542.9975651204586
full_gpu,,,,,,,,,,,True,,5.25,584.039680659771,short,True,True,,False,,4332.66748046875,False,full_lru,,0.0,full precision exact profile,,,,xsum_000167,8681.0234375,,,summary,63.132088631391525
full_gpu,,,,,,,,,,,True,,25.7578125,740.0197386741638,long,True,True,,False,,4567.34130859375,False,full_lru,,0.0,full precision exact profile,,,,xsum_000158,8681.0234375,,,summary,207.9325169324875
full_gpu,,,,,,,,,,,True,,24.171875,747.2330927848816,medium,True,True,,False,,4547.57568359375,False,full_lru,,0.0,full precision exact profile,,,,xsum_000155,8681.0234375,,,summary,221.3144302368164
full_gpu,,,,,,,,,,,True,,66.828125,1085.9800279140472,long,True,True,,False,,5038.67724609375,False,full_lru,,0.0,full precision exact profile,,,,longbench_qasper_000103,8681.0234375,,,qa_long_context,548.3578369021416
full_gpu,,,,,,,,,,,True,,5.46875,606.5168231725693,short,True,True,,False,,4335.84521484375,False,full_lru,,0.0,full precision exact profile,,,,xsum_000174,8681.0234375,,,summary,63.84509056806564
full_gpu,,,,,,,,,,,True,,37.515625,835.6988839805126,long,True,True,,False,,4699.13037109375,False,full_lru,,0.0,full precision exact profile,,,,xsum_000160,8681.0234375,,,summary,298.9431992173195
full_gpu,,,,,,,,,,,True,,25.046875,3130.600932985544,medium,True,True,,False,,4559.44287109375,False,full_lru,,0.0,full precision exact profile,,,,xsum_000156,8641.13671875,,,summary,2543.4184297919273
full_gpu,,,,,,,,,,,True,,68.4140625,1126.9460506737232,long,True,True,,False,,5055.84130859375,False,full_lru,,0.0,full precision exact profile,,,,longbench_qasper_000104,8641.13671875,,,qa_long_context,577.0263485610485
full_gpu,,,,,,,,,,,True,,2.953125,585.5483710765839,short,True,True,,False,,4306.94287109375,False,full_lru,,0.0,full precision exact profile,,,,xsum_000194,8641.13671875,,,summary,54.89099398255348
full_gpu,,,,,,,,,,,True,,39.921875,841.3743190467358,long,True,True,,False,,4726.46044921875,False,full_lru,,0.0,full precision exact profile,,,,xsum_000164,8641.13671875,,,summary,304.18697744607925
full_gpu,,,,,,,,,,,True,,20.8359375,713.9056026935577,medium,True,True,,False,,4509.68701171875,False,full_lru,,0.0,full precision exact profile,,,,xsum_000159,8641.13671875,,,summary,171.89938202500343
full_gpu,,,,,,,,,,,True,,70.8203125,1125.223632901907,long,True,True,,False,,5081.88330078125,False,full_lru,,0.0,full precision exact profile,,,,longbench_qasper_000105,8641.13671875,,,qa_long_context,543.9782664179802
full_gpu,,,,,,,,,,,True,,4.265625,611.9319088757038,short,True,True,,False,,4321.48583984375,False,full_lru,,0.0,full precision exact profile,,,,xsum_000207,8641.13671875,,,summary,58.93925204873085
full_gpu,,,,,,,,,,,True,,37.2421875,824.8055800795555,long,True,True,,False,,4696.02490234375,False,full_lru,,0.0,full precision exact profile,,,,xsum_000172,8641.13671875,,,summary,299.3217743933201
full_gpu,,,,,,,,,,,True,,8.0390625,622.1927143633366,medium,True,True,,False,,4364.34521484375,False,full_lru,,0.0,full precision exact profile,,,,xsum_000161,8641.13671875,,,summary,92.07969531416893
full_gpu,,,,,,,,,,,True,,65.40625,1062.222808599472,long,True,True,,False,,5022.75146484375,False,full_lru,,0.0,full precision exact profile,,,,longbench_qasper_000106,8641.13671875,,,qa_long_context,536.4779829978943
h2o_heavy10_recent10,,,,,,,0.1,,0.1,,False,calibrated unsafe,14.493896484375,1728.9520017802715,long,True,True,,False,,5059.09716796875,True,static_best,0.05981299402352034,0.0,static_best,,,,longbench_qasper_000100,8686.4375,0.24066898014266433,False,qa_long_context,702.9615454375744
h2o_heavy10_recent10,,,,,,,0.1,,0.1,,False,calibrated unsafe,1.317626953125,1089.3038995563984,short,True,True,,False,,4353.84130859375,True,static_best,0.02913096695226438,0.0,static_best,,,,xsum_000150,8686.4375,0.1089963280293757,False,summary,105.2238717675209
h2o_heavy10_recent10,,,,,,,0.1,,0.1,,False,calibrated unsafe,6.69793701171875,1387.8833167254925,long,True,True,,False,,4644.0,True,static_best,0.07692554119798703,0.009266409266409315,static_best,,,,xsum_000151,8686.4375,0.1641662980981867,False,summary,359.4547361135483
h2o_heavy10_recent10,,,,,,,0.1,,0.1,,False,calibrated safe,3.952880859375,1202.1938636898994,medium,True,True,,False,,4494.888671875,True,static_best,0.011764705882352944,0.0,static_best,,,,xsum_000152,8686.4375,0.07058823529411766,True,summary,214.3532671034336
h2o_heavy10_recent10,,,,,,,0.1,,0.1,,False,calibrated unsafe,12.62725830078125,1768.120214343071,long,True,True,,False,,4963.50341796875,True,static_best,0.05981299402352034,0.0,static_best,,,,longbench_qasper_000101,8686.4375,0.24066898014266433,False,qa_long_context,743.7386065721512
h2o_heavy10_recent10,,,,,,,0.1,,0.1,,False,calibrated unsafe,0.87841796875,3386.4372074604034,short,True,True,,False,,4332.26904296875,True,static_best,0.02913096695226438,0.14830214830214827,static_best,,,,xsum_000157,8634.16796875,0.1089963280293757,False,summary,2406.7088924348354
